parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-03,7,2018-09-03T06:59:59Z,seg,30,-,Sim
MP10,Parque D.Pedro II,2018-09-03,8,2018-09-03T07:59:59Z,seg,32,-,Sim
MP10,Parque D.Pedro II,2018-09-03,9,2018-09-03T08:59:59Z,seg,29,-,Sim
MP10,Parque D.Pedro II,2018-09-03,10,2018-09-03T09:59:59Z,seg,39,-,Sim
MP10,Parque D.Pedro II,2018-09-03,11,2018-09-03T10:59:59Z,seg,39,-,Sim
MP10,Parque D.Pedro II,2018-09-03,12,2018-09-03T11:59:59Z,seg,40,-,Sim
MP10,Parque D.Pedro II,2018-09-03,13,2018-09-03T12:59:59Z,seg,46,-,Sim
MP10,Parque D.Pedro II,2018-09-03,14,2018-09-03T13:59:59Z,seg,37,-,Sim
MP10,Parque D.Pedro II,2018-09-03,15,2018-09-03T14:59:59Z,seg,44,-,Sim
MP10,Parque D.Pedro II,2018-09-03,16,2018-09-03T15:59:59Z,seg,28,-,Sim
MP10,Parque D.Pedro II,2018-09-03,17,2018-09-03T16:59:59Z,seg,11,-,Sim
MP10,Parque D.Pedro II,2018-09-03,18,2018-09-03T17:59:59Z,seg,20,-,Sim
MP10,Parque D.Pedro II,2018-09-03,19,2018-09-03T18:59:59Z,seg,16,-,Sim
MP10,Parque D.Pedro II,2018-09-03,20,2018-09-03T19:59:59Z,seg,21,-,Sim
MP10,Parque D.Pedro II,2018-09-03,21,2018-09-03T20:59:59Z,seg,15,-,Sim
MP10,Parque D.Pedro II,2018-09-03,22,2018-09-03T21:59:59Z,seg,8,-,Sim
MP10,Parque D.Pedro II,2018-09-03,23,2018-09-03T22:59:59Z,seg,11,-,Sim
MP10,Parque D.Pedro II,2018-09-03,24,2018-09-03T23:59:59Z,seg,12,-,Sim
MP10,Parque D.Pedro II,2018-09-04,1,2018-09-04T00:59:59Z,ter,10,-,Sim
MP10,Parque D.Pedro II,2018-09-04,2,2018-09-04T01:59:59Z,ter,15,-,Sim
MP10,Parque D.Pedro II,2018-09-04,3,2018-09-04T02:59:59Z,ter,13,-,Sim
MP10,Parque D.Pedro II,2018-09-04,4,2018-09-04T03:59:59Z,ter,6,-,Sim
MP10,Parque D.Pedro II,2018-09-04,5,2018-09-04T04:59:59Z,ter,19,-,Sim
MP10,Parque D.Pedro II,2018-09-04,6,2018-09-04T05:59:59Z,ter,9,-,Sim
MP10,Parque D.Pedro II,2018-09-04,7,2018-09-04T06:59:59Z,ter,5,-,Sim
MP10,Parque D.Pedro II,2018-09-04,8,2018-09-04T07:59:59Z,ter,14,-,Sim
MP10,Parque D.Pedro II,2018-09-04,9,2018-09-04T08:59:59Z,ter,6,-,Sim
MP10,Parque D.Pedro II,2018-09-04,10,2018-09-04T09:59:59Z,ter,16,-,Sim
MP10,Parque D.Pedro II,2018-09-04,11,2018-09-04T10:59:59Z,ter,16,-,Sim
MP10,Parque D.Pedro II,2018-09-04,12,2018-09-04T11:59:59Z,ter,13,-,Sim
MP10,Parque D.Pedro II,2018-09-04,13,2018-09-04T12:59:59Z,ter,20,-,Sim
MP10,Parque D.Pedro II,2018-09-04,14,2018-09-04T13:59:59Z,ter,30,-,Sim
MP10,Parque D.Pedro II,2018-09-04,15,2018-09-04T14:59:59Z,ter,10,-,Sim
MP10,Parque D.Pedro II,2018-09-04,16,2018-09-04T15:59:59Z,ter,2,-,Sim
MP10,Parque D.Pedro II,2018-09-04,17,2018-09-04T16:59:59Z,ter,15,-,Sim
MP10,Parque D.Pedro II,2018-09-04,18,2018-09-04T17:59:59Z,ter,6,-,Sim
MP10,Parque D.Pedro II,2018-09-04,19,2018-09-04T18:59:59Z,ter,10,-,Sim
MP10,Parque D.Pedro II,2018-09-04,20,2018-09-04T19:59:59Z,ter,6,-,Sim
MP10,Parque D.Pedro II,2018-09-04,21,2018-09-04T20:59:59Z,ter,12,-,Sim
MP10,Parque D.Pedro II,2018-09-04,22,2018-09-04T21:59:59Z,ter,9,-,Sim
MP10,Parque D.Pedro II,2018-09-04,23,2018-09-04T22:59:59Z,ter,4,-,Sim
MP10,Parque D.Pedro II,2018-09-04,24,2018-09-04T23:59:59Z,ter,16,-,Sim
MP10,Parque D.Pedro II,2018-09-05,1,2018-09-05T00:59:59Z,qua,22,-,Sim
MP10,Parque D.Pedro II,2018-09-05,2,2018-09-05T01:59:59Z,qua,15,-,Sim
MP10,Parque D.Pedro II,2018-09-05,3,2018-09-05T02:59:59Z,qua,11,-,Sim
MP10,Parque D.Pedro II,2018-09-05,4,2018-09-05T03:59:59Z,qua,10,-,Sim
MP10,Parque D.Pedro II,2018-09-05,5,2018-09-05T04:59:59Z,qua,16,-,Sim
MP10,Parque D.Pedro II,2018-09-05,6,2018-09-05T05:59:59Z,qua,18,-,Sim
MP10,Parque D.Pedro II,2018-09-05,7,2018-09-05T06:59:59Z,qua,19,-,Sim
MP10,Parque D.Pedro II,2018-09-05,8,2018-09-05T07:59:59Z,qua,16,-,Sim
MP10,Parque D.Pedro II,2018-09-05,9,2018-09-05T08:59:59Z,qua,11,-,Sim
MP10,Parque D.Pedro II,2018-09-05,10,2018-09-05T09:59:59Z,qua,17,-,Sim
MP10,Parque D.Pedro II,2018-09-05,11,2018-09-05T10:59:59Z,qua,17,-,Sim
MP10,Parque D.Pedro II,2018-09-05,12,2018-09-05T11:59:59Z,qua,10,-,Sim
MP10,Parque D.Pedro II,2018-09-05,13,2018-09-05T12:59:59Z,qua,9,-,Sim
MP10,Parque D.Pedro II,2018-09-05,14,2018-09-05T13:59:59Z,qua,8,-,Sim
MP10,Parque D.Pedro II,2018-09-05,15,2018-09-05T14:59:59Z,qua,8,-,Sim
MP10,Parque D.Pedro II,2018-09-05,16,2018-09-05T15:59:59Z,qua,11,-,Sim
MP10,Parque D.Pedro II,2018-09-05,17,2018-09-05T16:59:59Z,qua,20,-,Sim
MP10,Parque D.Pedro II,2018-09-05,18,2018-09-05T17:59:59Z,qua,18,-,Sim
MP10,Parque D.Pedro II,2018-09-05,19,2018-09-05T18:59:59Z,qua,16,-,Sim
MP10,Parque D.Pedro II,2018-09-05,20,2018-09-05T19:59:59Z,qua,20,-,Sim
MP10,Parque D.Pedro II,2018-09-05,21,2018-09-05T20:59:59Z,qua,21,-,Sim
MP10,Parque D.Pedro II,2018-09-05,22,2018-09-05T21:59:59Z,qua,28,-,Sim
MP10,Parque D.Pedro II,2018-09-05,23,2018-09-05T22:59:59Z,qua,19,-,Sim
MP10,Parque D.Pedro II,2018-09-05,24,2018-09-05T23:59:59Z,qua,25,-,Sim
MP10,Parque D.Pedro II,2018-09-06,1,2018-09-06T00:59:59Z,qui,29,-,Sim
MP10,Parque D.Pedro II,2018-09-06,2,2018-09-06T01:59:59Z,qui,26,-,Sim
MP10,Parque D.Pedro II,2018-09-06,3,2018-09-06T02:59:59Z,qui,25,-,Sim
MP10,Parque D.Pedro II,2018-09-06,4,2018-09-06T03:59:59Z,qui,20,-,Sim
MP10,Parque D.Pedro II,2018-09-06,5,2018-09-06T04:59:59Z,qui,14,-,Sim
MP10,Parque D.Pedro II,2018-09-06,6,2018-09-06T05:59:59Z,qui,24,-,Sim
MP10,Parque D.Pedro II,2018-09-06,7,2018-09-06T06:59:59Z,qui,19,-,Sim
MP10,Parque D.Pedro II,2018-09-06,8,2018-09-06T07:59:59Z,qui,15,-,Sim
MP10,Parque D.Pedro II,2018-09-06,9,2018-09-06T08:59:59Z,qui,22,-,Sim
MP10,Parque D.Pedro II,2018-09-06,10,2018-09-06T09:59:59Z,qui,27,-,Sim
MP10,Parque D.Pedro II,2018-09-06,11,2018-09-06T10:59:59Z,qui,26,-,Sim
MP10,Parque D.Pedro II,2018-09-06,12,2018-09-06T11:59:59Z,qui,14,-,Sim
MP10,Parque D.Pedro II,2018-09-06,13,2018-09-06T12:59:59Z,qui,19,-,Sim
MP10,Parque D.Pedro II,2018-09-06,14,2018-09-06T13:59:59Z,qui,17,-,Sim
MP10,Parque D.Pedro II,2018-09-06,15,2018-09-06T14:59:59Z,qui,21,-,Sim
MP10,Parque D.Pedro II,2018-09-06,16,2018-09-06T15:59:59Z,qui,43,-,Sim
MP10,Parque D.Pedro II,2018-09-06,17,2018-09-06T16:59:59Z,qui,35,-,Sim
MP10,Parque D.Pedro II,2018-09-06,18,2018-09-06T17:59:59Z,qui,37,-,Sim
MP10,Parque D.Pedro II,2018-09-06,19,2018-09-06T18:59:59Z,qui,38,-,Sim
MP10,Parque D.Pedro II,2018-09-06,20,2018-09-06T19:59:59Z,qui,19,-,Sim
MP10,Parque D.Pedro II,2018-09-06,21,2018-09-06T20:59:59Z,qui,25,-,Sim
MP10,Parque D.Pedro II,2018-09-06,22,2018-09-06T21:59:59Z,qui,27,-,Sim
MP10,Parque D.Pedro II,2018-09-06,23,2018-09-06T22:59:59Z,qui,14,-,Sim
MP10,Parque D.Pedro II,2018-09-06,24,2018-09-06T23:59:59Z,qui,20,-,Sim
MP10,Parque D.Pedro II,2018-09-07,1,2018-09-07T00:59:59Z,sex,22,-,Sim
MP10,Parque D.Pedro II,2018-09-07,2,2018-09-07T01:59:59Z,sex,25,-,Sim
MP10,Parque D.Pedro II,2018-09-07,3,2018-09-07T02:59:59Z,sex,21,-,Sim
MP10,Parque D.Pedro II,2018-09-07,4,2018-09-07T03:59:59Z,sex,21,-,Sim
MP10,Parque D.Pedro II,2018-09-07,5,2018-09-07T04:59:59Z,sex,25,-,Sim
MP10,Parque D.Pedro II,2018-09-07,6,2018-09-07T05:59:59Z,sex,22,-,Sim
