parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
NOx,Ibirapuera,2008-11-01,1,2008-11-01T00:59:59Z,Sat,30,-,Não
NOx,Ibirapuera,2008-11-01,2,2008-11-01T01:59:59Z,Sat,8,-,Sim
NOx,Ibirapuera,2008-11-01,3,2008-11-01T02:59:59Z,Sat,7,-,Sim
NOx,Ibirapuera,2008-11-01,4,2008-11-01T03:59:59Z,Sat,7,-,Sim
NOx,Ibirapuera,2008-11-01,5,2008-11-01T04:59:59Z,Sat,11,-,Sim
NOx,Ibirapuera,2008-11-01,6,2008-11-01T05:59:59Z,Sat,13,-,Sim
NOx,Ibirapuera,2008-11-01,7,2008-11-01T06:59:59Z,Sat,19,-,Sim
NOx,Ibirapuera,2008-11-01,8,2008-11-01T07:59:59Z,Sat,25,-,Sim
NOx,Ibirapuera,2008-11-01,9,2008-11-01T08:59:59Z,Sat,29,-,Sim
NOx,Ibirapuera,2008-11-01,10,2008-11-01T09:59:59Z,Sat,20,-,Sim
NOx,Ibirapuera,2008-11-01,11,2008-11-01T10:59:59Z,Sat,10,-,Sim
NOx,Ibirapuera,2008-11-01,12,2008-11-01T11:59:59Z,Sat,10,-,Sim
NOx,Ibirapuera,2008-11-01,13,2008-11-01T12:59:59Z,Sat,11,-,Sim
NOx,Ibirapuera,2008-11-01,14,2008-11-01T13:59:59Z,Sat,11,-,Sim
NOx,Ibirapuera,2008-11-01,15,2008-11-01T14:59:59Z,Sat,9,-,Sim
NOx,Ibirapuera,2008-11-01,16,2008-11-01T15:59:59Z,Sat,16,-,Sim
NOx,Ibirapuera,2008-11-01,17,2008-11-01T16:59:59Z,Sat,17,-,Sim
NOx,Ibirapuera,2008-11-01,18,2008-11-01T17:59:59Z,Sat,20,-,Sim
NOx,Ibirapuera,2008-11-01,19,2008-11-01T18:59:59Z,Sat,20,-,Sim
NOx,Ibirapuera,2008-11-01,20,2008-11-01T19:59:59Z,Sat,24,-,Sim
NOx,Ibirapuera,2008-11-01,21,2008-11-01T20:59:59Z,Sat,23,-,Sim
NOx,Ibirapuera,2008-11-01,22,2008-11-01T21:59:59Z,Sat,31,-,Sim
NOx,Ibirapuera,2008-11-01,23,2008-11-01T22:59:59Z,Sat,30,-,Sim
NOx,Ibirapuera,2008-11-01,24,2008-11-01T23:59:59Z,Sat,33,-,Sim
NOx,Ibirapuera,2008-11-02,1,2008-11-02T00:59:59Z,Sun,39,-,Não
NOx,Ibirapuera,2008-11-02,2,2008-11-02T01:59:59Z,Sun,21,-,Sim
NOx,Ibirapuera,2008-11-02,3,2008-11-02T02:59:59Z,Sun,11,-,Sim
NOx,Ibirapuera,2008-11-02,4,2008-11-02T03:59:59Z,Sun,10,-,Sim
NOx,Ibirapuera,2008-11-02,5,2008-11-02T04:59:59Z,Sun,11,-,Sim
NOx,Ibirapuera,2008-11-02,6,2008-11-02T05:59:59Z,Sun,9,-,Sim
NOx,Ibirapuera,2008-11-02,7,2008-11-02T06:59:59Z,Sun,13,-,Sim
NOx,Ibirapuera,2008-11-02,8,2008-11-02T07:59:59Z,Sun,15,-,Sim
NOx,Ibirapuera,2008-11-02,9,2008-11-02T08:59:59Z,Sun,18,-,Sim
NOx,Ibirapuera,2008-11-02,10,2008-11-02T09:59:59Z,Sun,23,-,Sim
NOx,Ibirapuera,2008-11-02,11,2008-11-02T10:59:59Z,Sun,30,-,Sim
NOx,Ibirapuera,2008-11-02,12,2008-11-02T11:59:59Z,Sun,21,-,Sim
NOx,Ibirapuera,2008-11-02,13,2008-11-02T12:59:59Z,Sun,11,-,Sim
NOx,Ibirapuera,2008-11-02,14,2008-11-02T13:59:59Z,Sun,9,-,Sim
NOx,Ibirapuera,2008-11-02,15,2008-11-02T14:59:59Z,Sun,7,-,Sim
NOx,Ibirapuera,2008-11-02,16,2008-11-02T15:59:59Z,Sun,5,-,Sim
NOx,Ibirapuera,2008-11-02,17,2008-11-02T16:59:59Z,Sun,5,-,Sim
NOx,Ibirapuera,2008-11-02,18,2008-11-02T17:59:59Z,Sun,9,-,Sim
NOx,Ibirapuera,2008-11-02,19,2008-11-02T18:59:59Z,Sun,17,-,Sim
NOx,Ibirapuera,2008-11-02,20,2008-11-02T19:59:59Z,Sun,20,-,Sim
NOx,Ibirapuera,2008-11-02,21,2008-11-02T20:59:59Z,Sun,31,-,Sim
NOx,Ibirapuera,2008-11-02,22,2008-11-02T21:59:59Z,Sun,22,-,Sim
NOx,Ibirapuera,2008-11-02,23,2008-11-02T22:59:59Z,Sun,22,-,Sim
NOx,Ibirapuera,2008-11-02,24,2008-11-02T23:59:59Z,Sun,25,-,Sim
NOx,Ibirapuera,2008-11-03,1,2008-11-03T00:59:59Z,Mon,46,-,Não
NOx,Ibirapuera,2008-11-03,2,2008-11-03T01:59:59Z,Mon,16,-,Sim
NOx,Ibirapuera,2008-11-03,3,2008-11-03T02:59:59Z,Mon,7,-,Sim
NOx,Ibirapuera,2008-11-03,4,2008-11-03T03:59:59Z,Mon,9,-,Sim
NOx,Ibirapuera,2008-11-03,5,2008-11-03T04:59:59Z,Mon,9,-,Sim
