parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
NO,Grajaú-Parelheiros,2010-01-01,1,2010-01-01T00:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,2,2010-01-01T01:59:59Z,sex,5,-,Não
NO,Grajaú-Parelheiros,2010-01-01,3,2010-01-01T02:59:59Z,sex,2,-,Não
NO,Grajaú-Parelheiros,2010-01-01,4,2010-01-01T03:59:59Z,sex,2,-,Não
NO,Grajaú-Parelheiros,2010-01-01,5,2010-01-01T04:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,6,2010-01-01T05:59:59Z,sex,1,-,Não
NO,Grajaú-Parelheiros,2010-01-01,7,2010-01-01T06:59:59Z,sex,1,-,Não
NO,Grajaú-Parelheiros,2010-01-01,8,2010-01-01T07:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,9,2010-01-01T08:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,10,2010-01-01T09:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,11,2010-01-01T10:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,12,2010-01-01T11:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,13,2010-01-01T12:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,14,2010-01-01T13:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,15,2010-01-01T14:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,16,2010-01-01T15:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,17,2010-01-01T16:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,18,2010-01-01T17:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,19,2010-01-01T18:59:59Z,sex,0,-,Não
NO,Grajaú-Parelheiros,2010-01-01,20,2010-01-01T19:59:59Z,sex,1,-,Não
NO,Grajaú-Parelheiros,2010-01-01,21,2010-01-01T20:59:59Z,sex,9,-,Não
NO,Grajaú-Parelheiros,2010-01-01,22,2010-01-01T21:59:59Z,sex,15,-,Não
NO,Grajaú-Parelheiros,2010-01-01,23,2010-01-01T22:59:59Z,sex,11,-,Não
NO,Grajaú-Parelheiros,2010-01-01,24,2010-01-01T23:59:59Z,sex,15,-,Não
NO,Grajaú-Parelheiros,2010-01-02,1,2010-01-02T00:59:59Z,sáb,0,-,Não
NO,Grajaú-Parelheiros,2010-01-02,2,2010-01-02T01:59:59Z,sáb,6,-,Não
NO,Grajaú-Parelheiros,2010-01-02,3,2010-01-02T02:59:59Z,sáb,1,-,Não
NO,Grajaú-Parelheiros,2010-01-02,4,2010-01-02T03:59:59Z,sáb,0,-,Não
NO,Grajaú-Parelheiros,2010-01-02,5,2010-01-02T04:59:59Z,sáb,0,-,Não
NO,Grajaú-Parelheiros,2010-01-02,6,2010-01-02T05:59:59Z,sáb,4,-,Não
NO,Grajaú-Parelheiros,2010-01-02,7,2010-01-02T06:59:59Z,sáb,18,-,Não
NO,Grajaú-Parelheiros,2010-01-02,8,2010-01-02T07:59:59Z,sáb,1,-,Não
NO,Grajaú-Parelheiros,2010-01-02,9,2010-01-02T08:59:59Z,sáb,31,-,Não
NO,Grajaú-Parelheiros,2010-01-02,10,2010-01-02T09:59:59Z,sáb,32,-,Não
NO,Grajaú-Parelheiros,2010-01-02,11,2010-01-02T10:59:59Z,sáb,37,-,Não
NO,Grajaú-Parelheiros,2010-01-02,12,2010-01-02T11:59:59Z,sáb,40,-,Não
NO,Grajaú-Parelheiros,2010-01-02,13,2010-01-02T12:59:59Z,sáb,25,-,Não
NO,Grajaú-Parelheiros,2010-01-02,14,2010-01-02T13:59:59Z,sáb,15,-,Não
NO,Grajaú-Parelheiros,2010-01-02,15,2010-01-02T14:59:59Z,sáb,10,-,Não
NO,Grajaú-Parelheiros,2010-01-02,16,2010-01-02T15:59:59Z,sáb,9,-,Não
NO,Grajaú-Parelheiros,2010-01-02,17,2010-01-02T16:59:59Z,sáb,3,-,Não
NO,Grajaú-Parelheiros,2010-01-02,18,2010-01-02T17:59:59Z,sáb,9,-,Não
NO,Grajaú-Parelheiros,2010-01-02,19,2010-01-02T18:59:59Z,sáb,4,-,Não
NO,Grajaú-Parelheiros,2010-01-02,20,2010-01-02T19:59:59Z,sáb,17,-,Não
NO,Grajaú-Parelheiros,2010-01-02,21,2010-01-02T20:59:59Z,sáb,26,-,Não
NO,Grajaú-Parelheiros,2010-01-02,22,2010-01-02T21:59:59Z,sáb,19,-,Não
NO,Grajaú-Parelheiros,2010-01-02,23,2010-01-02T22:59:59Z,sáb,1,-,Não
NO,Grajaú-Parelheiros,2010-01-02,24,2010-01-02T23:59:59Z,sáb,38,-,Não
NO,Grajaú-Parelheiros,2010-01-03,1,2010-01-03T00:59:59Z,dom,0,-,Não
NO,Grajaú-Parelheiros,2010-01-03,2,2010-01-03T01:59:59Z,dom,37,-,Não
NO,Grajaú-Parelheiros,2010-01-03,3,2010-01-03T02:59:59Z,dom,9,-,Não
NO,Grajaú-Parelheiros,2010-01-03,4,2010-01-03T03:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,5,2010-01-03T04:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,6,2010-01-03T05:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,7,2010-01-03T06:59:59Z,dom,2,-,Não
NO,Grajaú-Parelheiros,2010-01-03,8,2010-01-03T07:59:59Z,dom,7,-,Não
NO,Grajaú-Parelheiros,2010-01-03,9,2010-01-03T08:59:59Z,dom,14,-,Não
NO,Grajaú-Parelheiros,2010-01-03,10,2010-01-03T09:59:59Z,dom,9,-,Não
NO,Grajaú-Parelheiros,2010-01-03,11,2010-01-03T10:59:59Z,dom,7,-,Não
NO,Grajaú-Parelheiros,2010-01-03,12,2010-01-03T11:59:59Z,dom,5,-,Não
NO,Grajaú-Parelheiros,2010-01-03,13,2010-01-03T12:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,14,2010-01-03T13:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,15,2010-01-03T14:59:59Z,dom,0,-,Não
NO,Grajaú-Parelheiros,2010-01-03,16,2010-01-03T15:59:59Z,dom,1,-,Não
NO,Grajaú-Parelheiros,2010-01-03,17,2010-01-03T16:59:59Z,dom,0,-,Não
NO,Grajaú-Parelheiros,2010-01-03,18,2010-01-03T17:59:59Z,dom,0,-,Não
NO,Grajaú-Parelheiros,2010-01-03,19,2010-01-03T18:59:59Z,dom,2,-,Não
NO,Grajaú-Parelheiros,2010-01-03,20,2010-01-03T19:59:59Z,dom,2,-,Não
NO,Grajaú-Parelheiros,2010-01-03,21,2010-01-03T20:59:59Z,dom,3,-,Não
NO,Grajaú-Parelheiros,2010-01-03,22,2010-01-03T21:59:59Z,dom,7,-,Não
NO,Grajaú-Parelheiros,2010-01-03,23,2010-01-03T22:59:59Z,dom,5,-,Não
NO,Grajaú-Parelheiros,2010-01-03,24,2010-01-03T23:59:59Z,dom,2,-,Não
NO,Grajaú-Parelheiros,2010-01-04,1,2010-01-04T00:59:59Z,seg,0,-,Não
NO,Grajaú-Parelheiros,2010-01-04,2,2010-01-04T01:59:59Z,seg,1,-,Não
NO,Grajaú-Parelheiros,2010-01-04,3,2010-01-04T02:59:59Z,seg,0,-,Não
NO,Grajaú-Parelheiros,2010-01-04,4,2010-01-04T03:59:59Z,seg,0,-,Não
NO,Grajaú-Parelheiros,2010-01-04,5,2010-01-04T04:59:59Z,seg,0,-,Não
NO,Grajaú-Parelheiros,2010-01-04,6,2010-01-04T05:59:59Z,seg,6,-,Não
NO,Grajaú-Parelheiros,2010-01-04,7,2010-01-04T06:59:59Z,seg,30,-,Não
NO,Grajaú-Parelheiros,2010-01-04,8,2010-01-04T07:59:59Z,seg,22,-,Não
NO,Grajaú-Parelheiros,2010-01-04,9,2010-01-04T08:59:59Z,seg,31,-,Não
NO,Grajaú-Parelheiros,2010-01-04,10,2010-01-04T09:59:59Z,seg,43,-,Não
NO,Grajaú-Parelheiros,2010-01-04,11,2010-01-04T10:59:59Z,seg,27,-,Não
NO,Grajaú-Parelheiros,2010-01-04,12,2010-01-04T11:59:59Z,seg,20,-,Não
NO,Grajaú-Parelheiros,2010-01-04,13,2010-01-04T12:59:59Z,seg,8,-,Não
NO,Grajaú-Parelheiros,2010-01-04,14,2010-01-04T13:59:59Z,seg,10,-,Não
NO,Grajaú-Parelheiros,2010-01-04,15,2010-01-04T14:59:59Z,seg,1,-,Não
NO,Grajaú-Parelheiros,2010-01-04,16,2010-01-04T15:59:59Z,seg,2,-,Não
NO,Grajaú-Parelheiros,2010-01-04,17,2010-01-04T16:59:59Z,seg,1,-,Não
NO,Grajaú-Parelheiros,2010-01-04,18,2010-01-04T17:59:59Z,seg,18,-,Não
NO,Grajaú-Parelheiros,2010-01-04,19,2010-01-04T18:59:59Z,seg,15,-,Não
NO,Grajaú-Parelheiros,2010-01-04,20,2010-01-04T19:59:59Z,seg,4,-,Não
NO,Grajaú-Parelheiros,2010-01-04,21,2010-01-04T20:59:59Z,seg,55,-,Não
NO,Grajaú-Parelheiros,2010-01-04,22,2010-01-04T21:59:59Z,seg,89,-,Não
NO,Grajaú-Parelheiros,2010-01-04,23,2010-01-04T22:59:59Z,seg,35,-,Não
NO,Grajaú-Parelheiros,2010-01-04,24,2010-01-04T23:59:59Z,seg,5,-,Não
NO,Grajaú-Parelheiros,2010-01-05,1,2010-01-05T00:59:59Z,ter,0,-,Não
NO,Grajaú-Parelheiros,2010-01-05,2,2010-01-05T01:59:59Z,ter,0,-,Não
NO,Grajaú-Parelheiros,2010-01-05,3,2010-01-05T02:59:59Z,ter,0,-,Não
NO,Grajaú-Parelheiros,2010-01-05,4,2010-01-05T03:59:59Z,ter,1,-,Não
NO,Grajaú-Parelheiros,2010-01-05,5,2010-01-05T04:59:59Z,ter,2,-,Não
NO,Grajaú-Parelheiros,2010-01-05,6,2010-01-05T05:59:59Z,ter,0,-,Não
NO,Grajaú-Parelheiros,2010-01-05,7,2010-01-05T06:59:59Z,ter,17,-,Não
NO,Grajaú-Parelheiros,2010-01-05,8,2010-01-05T07:59:59Z,ter,52,-,Não
NO,Grajaú-Parelheiros,2010-01-05,9,2010-01-05T08:59:59Z,ter,41,-,Não
NO,Grajaú-Parelheiros,2010-01-05,10,2010-01-05T09:59:59Z,ter,44,-,Não
NO,Grajaú-Parelheiros,2010-01-05,11,2010-01-05T10:59:59Z,ter,32,-,Não
NO,Grajaú-Parelheiros,2010-01-05,12,2010-01-05T11:59:59Z,ter,23,-,Não
NO,Grajaú-Parelheiros,2010-01-05,13,2010-01-05T12:59:59Z,ter,9,-,Não
NO,Grajaú-Parelheiros,2010-01-05,14,2010-01-05T13:59:59Z,ter,4,-,Não
NO,Grajaú-Parelheiros,2010-01-05,15,2010-01-05T14:59:59Z,ter,16,-,Não
NO,Grajaú-Parelheiros,2010-01-05,16,2010-01-05T15:59:59Z,ter,13,-,Não
NO,Grajaú-Parelheiros,2010-01-05,17,2010-01-05T16:59:59Z,ter,7,-,Não
NO,Grajaú-Parelheiros,2010-01-05,18,2010-01-05T17:59:59Z,ter,10,-,Não
NO,Grajaú-Parelheiros,2010-01-05,19,2010-01-05T18:59:59Z,ter,13,-,Não
NO,Grajaú-Parelheiros,2010-01-05,20,2010-01-05T19:59:59Z,ter,6,-,Não
NO,Grajaú-Parelheiros,2010-01-05,21,2010-01-05T20:59:59Z,ter,5,-,Não
NO,Grajaú-Parelheiros,2010-01-05,22,2010-01-05T21:59:59Z,ter,33,-,Não
NO,Grajaú-Parelheiros,2010-01-05,23,2010-01-05T22:59:59Z,ter,30,-,Não
NO,Grajaú-Parelheiros,2010-01-05,24,2010-01-05T23:59:59Z,ter,18,-,Não
NO,Grajaú-Parelheiros,2010-01-06,1,2010-01-06T00:59:59Z,qua,7,-,Não
NO,Grajaú-Parelheiros,2010-01-06,2,2010-01-06T01:59:59Z,qua,3,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,3,2010-01-06T02:59:59Z,qua,3,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,6,2010-01-06T05:59:59Z,qua,111,-,Não
NO,Grajaú-Parelheiros,2010-01-06,7,2010-01-06T06:59:59Z,qua,78,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,8,2010-01-06T07:59:59Z,qua,61,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,9,2010-01-06T08:59:59Z,qua,69,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,10,2010-01-06T09:59:59Z,qua,49,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,11,2010-01-06T10:59:59Z,qua,34,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,12,2010-01-06T11:59:59Z,qua,28,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,13,2010-01-06T12:59:59Z,qua,33,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,14,2010-01-06T13:59:59Z,qua,33,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,15,2010-01-06T14:59:59Z,qua,22,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,16,2010-01-06T15:59:59Z,qua,22,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,17,2010-01-06T16:59:59Z,qua,25,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,18,2010-01-06T17:59:59Z,qua,5,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,19,2010-01-06T18:59:59Z,qua,16,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,20,2010-01-06T19:59:59Z,qua,22,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,21,2010-01-06T20:59:59Z,qua,41,-,Sim
NO,Grajaú-Parelheiros,2010-01-06,22,2010-01-06T21:59:59Z,qua,82,-,Sim
