parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
NO,Pinheiros,2008-11-01,1,2008-11-01T00:59:59Z,sáb,62,-,Não
NO,Pinheiros,2008-11-01,2,2008-11-01T01:59:59Z,sáb,1,-,Sim
NO,Pinheiros,2008-11-01,3,2008-11-01T02:59:59Z,sáb,1,-,Sim
NO,Pinheiros,2008-11-01,4,2008-11-01T03:59:59Z,sáb,1,-,Sim
NO,Pinheiros,2008-11-01,5,2008-11-01T04:59:59Z,sáb,0,-,Sim
NO,Pinheiros,2008-11-01,6,2008-11-01T05:59:59Z,sáb,1,-,Sim
NO,Pinheiros,2008-11-01,7,2008-11-01T06:59:59Z,sáb,7,-,Sim
NO,Pinheiros,2008-11-01,8,2008-11-01T07:59:59Z,sáb,12,-,Sim
NO,Pinheiros,2008-11-01,20,2008-11-01T19:59:59Z,sáb,123,-,Não
NO,Pinheiros,2008-11-01,21,2008-11-01T20:59:59Z,sáb,23,-,Sim
NO,Pinheiros,2008-11-01,22,2008-11-01T21:59:59Z,sáb,40,-,Sim
NO,Pinheiros,2008-11-01,23,2008-11-01T22:59:59Z,sáb,33,-,Sim
NO,Pinheiros,2008-11-01,24,2008-11-01T23:59:59Z,sáb,34,-,Sim
NO,Pinheiros,2008-11-02,1,2008-11-02T00:59:59Z,dom,81,-,Não
NO,Pinheiros,2008-11-02,2,2008-11-02T01:59:59Z,dom,15,-,Sim
NO,Pinheiros,2008-11-02,3,2008-11-02T02:59:59Z,dom,4,-,Sim
NO,Pinheiros,2008-11-02,4,2008-11-02T03:59:59Z,dom,4,-,Sim
NO,Pinheiros,2008-11-02,5,2008-11-02T04:59:59Z,dom,3,-,Sim
NO,Pinheiros,2008-11-02,6,2008-11-02T05:59:59Z,dom,2,-,Sim
NO,Pinheiros,2008-11-02,7,2008-11-02T06:59:59Z,dom,7,-,Sim
NO,Pinheiros,2008-11-02,8,2008-11-02T07:59:59Z,dom,7,-,Sim
NO,Pinheiros,2008-11-02,9,2008-11-02T08:59:59Z,dom,11,-,Sim
NO,Pinheiros,2008-11-02,10,2008-11-02T09:59:59Z,dom,23,-,Sim
NO,Pinheiros,2008-11-02,11,2008-11-02T10:59:59Z,dom,17,-,Sim
NO,Pinheiros,2008-11-02,12,2008-11-02T11:59:59Z,dom,10,-,Sim
NO,Pinheiros,2008-11-02,13,2008-11-02T12:59:59Z,dom,5,-,Sim
NO,Pinheiros,2008-11-02,14,2008-11-02T13:59:59Z,dom,4,-,Sim
NO,Pinheiros,2008-11-02,15,2008-11-02T14:59:59Z,dom,4,-,Sim
