parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Osasco,2011-01-01,1,38,-,2011-01-01T00:00:00Z,Sat
MP10,Osasco,2011-01-01,2,104,-,2011-01-01T01:00:00Z,Sat
MP10,Osasco,2011-01-01,3,73,-,2011-01-01T02:00:00Z,Sat
MP10,Osasco,2011-01-01,4,42,-,2011-01-01T03:00:00Z,Sat
MP10,Osasco,2011-01-01,5,23,-,2011-01-01T04:00:00Z,Sat
MP10,Osasco,2011-01-01,6,24,-,2011-01-01T05:00:00Z,Sat
MP10,Osasco,2011-01-01,7,7,-,2011-01-01T06:00:00Z,Sat
MP10,Osasco,2011-01-01,8,9,-,2011-01-01T07:00:00Z,Sat
MP10,Osasco,2011-01-01,9,11,-,2011-01-01T08:00:00Z,Sat
MP10,Osasco,2011-01-01,10,4,-,2011-01-01T09:00:00Z,Sat
MP10,Osasco,2011-01-01,11,13,-,2011-01-01T10:00:00Z,Sat
MP10,Osasco,2011-01-01,12,17,-,2011-01-01T11:00:00Z,Sat
MP10,Osasco,2011-01-01,13,14,-,2011-01-01T12:00:00Z,Sat
MP10,Osasco,2011-01-01,14,17,-,2011-01-01T13:00:00Z,Sat
MP10,Osasco,2011-01-01,15,12,-,2011-01-01T14:00:00Z,Sat
MP10,Osasco,2011-01-01,16,26,-,2011-01-01T15:00:00Z,Sat
MP10,Osasco,2011-01-01,17,31,-,2011-01-01T16:00:00Z,Sat
MP10,Osasco,2011-01-01,18,9,-,2011-01-01T17:00:00Z,Sat
MP10,Osasco,2011-01-01,19,18,-,2011-01-01T18:00:00Z,Sat
MP10,Osasco,2011-01-01,20,18,-,2011-01-01T19:00:00Z,Sat
MP10,Osasco,2011-01-01,21,7,-,2011-01-01T20:00:00Z,Sat
MP10,Osasco,2011-01-01,22,5,-,2011-01-01T21:00:00Z,Sat
MP10,Osasco,2011-01-01,23,9,-,2011-01-01T22:00:00Z,Sat
MP10,Osasco,2011-01-01,24,14,-,2011-01-01T23:00:00Z,Sat
MP10,Osasco,2011-01-02,1,7,-,2011-01-02T00:00:00Z,Sun
MP10,Osasco,2011-01-02,2,49,-,2011-01-02T01:00:00Z,Sun
MP10,Osasco,2011-01-02,3,31,-,2011-01-02T02:00:00Z,Sun
MP10,Osasco,2011-01-02,4,5,-,2011-01-02T03:00:00Z,Sun
MP10,Osasco,2011-01-02,5,10,-,2011-01-02T04:00:00Z,Sun
MP10,Osasco,2011-01-02,6,3,-,2011-01-02T05:00:00Z,Sun
MP10,Osasco,2011-01-02,7,7,-,2011-01-02T06:00:00Z,Sun
MP10,Osasco,2011-01-02,8,7,-,2011-01-02T07:00:00Z,Sun
MP10,Osasco,2011-01-02,9,12,-,2011-01-02T08:00:00Z,Sun
MP10,Osasco,2011-01-02,10,6,-,2011-01-02T09:00:00Z,Sun
MP10,Osasco,2011-01-02,11,3,-,2011-01-02T10:00:00Z,Sun
MP10,Osasco,2011-01-02,12,9,-,2011-01-02T11:00:00Z,Sun
MP10,Osasco,2011-01-02,13,13,-,2011-01-02T12:00:00Z,Sun
MP10,Osasco,2011-01-02,14,2,-,2011-01-02T13:00:00Z,Sun
MP10,Osasco,2011-01-02,15,4,-,2011-01-02T14:00:00Z,Sun
MP10,Osasco,2011-01-02,16,18,-,2011-01-02T15:00:00Z,Sun
MP10,Osasco,2011-01-02,17,16,-,2011-01-02T16:00:00Z,Sun
MP10,Osasco,2011-01-02,18,6,-,2011-01-02T17:00:00Z,Sun
MP10,Osasco,2011-01-02,19,11,-,2011-01-02T18:00:00Z,Sun
MP10,Osasco,2011-01-02,20,14,-,2011-01-02T19:00:00Z,Sun
MP10,Osasco,2011-01-02,21,13,-,2011-01-02T20:00:00Z,Sun
MP10,Osasco,2011-01-02,22,11,-,2011-01-02T21:00:00Z,Sun
MP10,Osasco,2011-01-02,23,10,-,2011-01-02T22:00:00Z,Sun
MP10,Osasco,2011-01-02,24,20,-,2011-01-02T23:00:00Z,Sun
MP10,Osasco,2011-01-03,1,18,-,2011-01-03T00:00:00Z,Mon
MP10,Osasco,2011-01-03,2,52,-,2011-01-03T01:00:00Z,Mon
MP10,Osasco,2011-01-03,3,28,-,2011-01-03T02:00:00Z,Mon
MP10,Osasco,2011-01-03,4,18,-,2011-01-03T03:00:00Z,Mon
MP10,Osasco,2011-01-03,5,22,-,2011-01-03T04:00:00Z,Mon
MP10,Osasco,2011-01-03,6,13,-,2011-01-03T05:00:00Z,Mon
MP10,Osasco,2011-01-03,7,25,-,2011-01-03T06:00:00Z,Mon
MP10,Osasco,2011-01-03,8,54,-,2011-01-03T07:00:00Z,Mon
MP10,Osasco,2011-01-03,9,37,-,2011-01-03T08:00:00Z,Mon
MP10,Osasco,2011-01-03,10,42,-,2011-01-03T09:00:00Z,Mon
MP10,Osasco,2011-01-03,11,31,-,2011-01-03T10:00:00Z,Mon
MP10,Osasco,2011-01-03,12,44,-,2011-01-03T11:00:00Z,Mon
MP10,Osasco,2011-01-03,13,35,-,2011-01-03T12:00:00Z,Mon
MP10,Osasco,2011-01-03,14,20,-,2011-01-03T13:00:00Z,Mon
MP10,Osasco,2011-01-03,15,21,-,2011-01-03T14:00:00Z,Mon
MP10,Osasco,2011-01-03,16,24,-,2011-01-03T15:00:00Z,Mon
MP10,Osasco,2011-01-03,17,31,-,2011-01-03T16:00:00Z,Mon
MP10,Osasco,2011-01-03,18,23,-,2011-01-03T17:00:00Z,Mon
MP10,Osasco,2011-01-03,19,23,-,2011-01-03T18:00:00Z,Mon
MP10,Osasco,2011-01-03,20,25,-,2011-01-03T19:00:00Z,Mon
MP10,Osasco,2011-01-03,21,28,-,2011-01-03T20:00:00Z,Mon
MP10,Osasco,2011-01-03,22,55,-,2011-01-03T21:00:00Z,Mon
MP10,Osasco,2011-01-03,23,38,-,2011-01-03T22:00:00Z,Mon
MP10,Osasco,2011-01-03,24,37,-,2011-01-03T23:00:00Z,Mon
MP10,Osasco,2011-01-04,1,39,-,2011-01-04T00:00:00Z,Tue
MP10,Osasco,2011-01-04,2,77,-,2011-01-04T01:00:00Z,Tue
MP10,Osasco,2011-01-04,3,52,-,2011-01-04T02:00:00Z,Tue
MP10,Osasco,2011-01-04,4,30,-,2011-01-04T03:00:00Z,Tue
MP10,Osasco,2011-01-04,5,28,-,2011-01-04T04:00:00Z,Tue
MP10,Osasco,2011-01-04,6,22,-,2011-01-04T05:00:00Z,Tue
MP10,Osasco,2011-01-04,7,50,-,2011-01-04T06:00:00Z,Tue
MP10,Osasco,2011-01-04,8,70,-,2011-01-04T07:00:00Z,Tue
MP10,Osasco,2011-01-04,9,44,-,2011-01-04T08:00:00Z,Tue
MP10,Osasco,2011-01-04,10,36,-,2011-01-04T09:00:00Z,Tue
MP10,Osasco,2011-01-04,11,33,-,2011-01-04T10:00:00Z,Tue
MP10,Osasco,2011-01-04,12,27,-,2011-01-04T11:00:00Z,Tue
MP10,Osasco,2011-01-04,13,16,-,2011-01-04T12:00:00Z,Tue
MP10,Osasco,2011-01-04,14,15,-,2011-01-04T13:00:00Z,Tue
MP10,Osasco,2011-01-04,15,61,-,2011-01-04T14:00:00Z,Tue
MP10,Osasco,2011-01-04,16,37,-,2011-01-04T15:00:00Z,Tue
MP10,Osasco,2011-01-04,17,23,-,2011-01-04T16:00:00Z,Tue
MP10,Osasco,2011-01-04,18,28,-,2011-01-04T17:00:00Z,Tue
MP10,Osasco,2011-01-04,19,31,-,2011-01-04T18:00:00Z,Tue
MP10,Osasco,2011-01-04,20,42,-,2011-01-04T19:00:00Z,Tue
MP10,Osasco,2011-01-04,21,49,-,2011-01-04T20:00:00Z,Tue
MP10,Osasco,2011-01-04,22,57,-,2011-01-04T21:00:00Z,Tue
MP10,Osasco,2011-01-04,23,49,-,2011-01-04T22:00:00Z,Tue
MP10,Osasco,2011-01-04,24,51,-,2011-01-04T23:00:00Z,Tue
MP10,Osasco,2011-01-05,1,51,-,2011-01-05T00:00:00Z,Wed
MP10,Osasco,2011-01-05,2,71,-,2011-01-05T01:00:00Z,Wed
MP10,Osasco,2011-01-05,3,51,-,2011-01-05T02:00:00Z,Wed
MP10,Osasco,2011-01-05,4,23,-,2011-01-05T03:00:00Z,Wed
MP10,Osasco,2011-01-05,5,16,-,2011-01-05T04:00:00Z,Wed
MP10,Osasco,2011-01-05,6,26,-,2011-01-05T05:00:00Z,Wed
MP10,Osasco,2011-01-05,7,29,-,2011-01-05T06:00:00Z,Wed
MP10,Osasco,2011-01-05,8,30,-,2011-01-05T07:00:00Z,Wed
MP10,Osasco,2011-01-05,9,40,-,2011-01-05T08:00:00Z,Wed
MP10,Osasco,2011-01-05,10,33,-,2011-01-05T09:00:00Z,Wed
MP10,Osasco,2011-01-05,11,31,-,2011-01-05T10:00:00Z,Wed
MP10,Osasco,2011-01-05,12,24,-,2011-01-05T11:00:00Z,Wed
MP10,Osasco,2011-01-05,13,32,-,2011-01-05T12:00:00Z,Wed
MP10,Osasco,2011-01-05,14,26,-,2011-01-05T13:00:00Z,Wed
MP10,Osasco,2011-01-05,15,14,-,2011-01-05T14:00:00Z,Wed
MP10,Osasco,2011-01-05,16,26,-,2011-01-05T15:00:00Z,Wed
MP10,Osasco,2011-01-05,17,24,-,2011-01-05T16:00:00Z,Wed
MP10,Osasco,2011-01-05,18,33,-,2011-01-05T17:00:00Z,Wed
MP10,Osasco,2011-01-05,19,44,-,2011-01-05T18:00:00Z,Wed
MP10,Osasco,2011-01-05,20,51,-,2011-01-05T19:00:00Z,Wed
MP10,Osasco,2011-01-05,21,25,-,2011-01-05T20:00:00Z,Wed
MP10,Osasco,2011-01-05,22,30,-,2011-01-05T21:00:00Z,Wed
MP10,Osasco,2011-01-05,23,20,-,2011-01-05T22:00:00Z,Wed
MP10,Osasco,2011-01-05,24,22,-,2011-01-05T23:00:00Z,Wed
MP10,Osasco,2011-01-06,1,10,-,2011-01-06T00:00:00Z,Thu
MP10,Osasco,2011-01-06,2,31,-,2011-01-06T01:00:00Z,Thu
MP10,Osasco,2011-01-06,3,22,-,2011-01-06T02:00:00Z,Thu
MP10,Osasco,2011-01-06,4,13,-,2011-01-06T03:00:00Z,Thu
MP10,Osasco,2011-01-06,5,11,-,2011-01-06T04:00:00Z,Thu
MP10,Osasco,2011-01-06,6,19,-,2011-01-06T05:00:00Z,Thu
MP10,Osasco,2011-01-06,7,21,-,2011-01-06T06:00:00Z,Thu
MP10,Osasco,2011-01-06,8,43,-,2011-01-06T07:00:00Z,Thu
MP10,Osasco,2011-01-06,9,52,-,2011-01-06T08:00:00Z,Thu
MP10,Osasco,2011-01-06,10,54,-,2011-01-06T09:00:00Z,Thu
MP10,Osasco,2011-01-06,11,29,-,2011-01-06T10:00:00Z,Thu
MP10,Osasco,2011-01-06,12,29,-,2011-01-06T11:00:00Z,Thu
MP10,Osasco,2011-01-06,13,21,-,2011-01-06T12:00:00Z,Thu
