parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Osasco,2012-01-01,1,46,-,2012-01-01T00:00:00Z,Sun
MP10,Osasco,2012-01-01,2,112,-,2012-01-01T01:00:00Z,Sun
MP10,Osasco,2012-01-01,3,81,-,2012-01-01T02:00:00Z,Sun
MP10,Osasco,2012-01-01,4,85,-,2012-01-01T03:00:00Z,Sun
MP10,Osasco,2012-01-01,5,47,-,2012-01-01T04:00:00Z,Sun
MP10,Osasco,2012-01-01,6,29,-,2012-01-01T05:00:00Z,Sun
MP10,Osasco,2012-01-01,7,19,-,2012-01-01T06:00:00Z,Sun
MP10,Osasco,2012-01-01,8,26,-,2012-01-01T07:00:00Z,Sun
MP10,Osasco,2012-01-01,9,16,-,2012-01-01T08:00:00Z,Sun
MP10,Osasco,2012-01-01,10,12,-,2012-01-01T09:00:00Z,Sun
MP10,Osasco,2012-01-01,11,11,-,2012-01-01T10:00:00Z,Sun
MP10,Osasco,2012-01-01,12,33,-,2012-01-01T11:00:00Z,Sun
MP10,Osasco,2012-01-01,13,56,-,2012-01-01T12:00:00Z,Sun
MP10,Osasco,2012-01-01,14,29,-,2012-01-01T13:00:00Z,Sun
MP10,Osasco,2012-01-01,15,19,-,2012-01-01T14:00:00Z,Sun
MP10,Osasco,2012-01-01,16,13,-,2012-01-01T15:00:00Z,Sun
MP10,Osasco,2012-01-01,17,13,-,2012-01-01T16:00:00Z,Sun
MP10,Osasco,2012-01-01,18,6,-,2012-01-01T17:00:00Z,Sun
MP10,Osasco,2012-01-01,19,2,-,2012-01-01T18:00:00Z,Sun
MP10,Osasco,2012-01-01,20,10,-,2012-01-01T19:00:00Z,Sun
MP10,Osasco,2012-01-01,21,15,-,2012-01-01T20:00:00Z,Sun
MP10,Osasco,2012-01-01,22,7,-,2012-01-01T21:00:00Z,Sun
MP10,Osasco,2012-01-01,23,12,-,2012-01-01T22:00:00Z,Sun
MP10,Osasco,2012-01-01,24,10,-,2012-01-01T23:00:00Z,Sun
MP10,Osasco,2012-01-02,1,9,-,2012-01-02T00:00:00Z,Mon
