parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Santo Amaro,2010-01-01,1,14,-,2010-01-01T00:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,2,35,-,2010-01-01T01:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,3,12,-,2010-01-01T02:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,4,14,-,2010-01-01T03:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,5,10,-,2010-01-01T04:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,6,2,-,2010-01-01T05:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,7,11,-,2010-01-01T06:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,8,1,-,2010-01-01T07:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,9,9,-,2010-01-01T08:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,10,2,-,2010-01-01T09:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,11,1,-,2010-01-01T10:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,12,10,-,2010-01-01T11:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,13,15,-,2010-01-01T12:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,14,13,-,2010-01-01T13:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,15,8,-,2010-01-01T14:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,16,4,-,2010-01-01T15:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,17,0,-,2010-01-01T16:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,18,16,-,2010-01-01T17:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,19,7,-,2010-01-01T18:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,20,1,-,2010-01-01T19:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,21,11,-,2010-01-01T20:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,22,4,-,2010-01-01T21:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,23,12,-,2010-01-01T22:00:00Z,Fri
MP10,Santo Amaro,2010-01-01,24,8,-,2010-01-01T23:00:00Z,Fri
MP10,Santo Amaro,2010-01-02,1,2,-,2010-01-02T00:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,2,9,-,2010-01-02T01:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,3,10,-,2010-01-02T02:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,4,5,-,2010-01-02T03:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,5,6,-,2010-01-02T04:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,6,15,-,2010-01-02T05:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,7,7,-,2010-01-02T06:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,8,4,-,2010-01-02T07:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,9,16,-,2010-01-02T08:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,10,12,-,2010-01-02T09:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,11,9,-,2010-01-02T10:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,12,6,-,2010-01-02T11:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,13,19,-,2010-01-02T12:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,14,13,-,2010-01-02T13:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,15,14,-,2010-01-02T14:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,16,4,-,2010-01-02T15:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,17,19,-,2010-01-02T16:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,18,17,-,2010-01-02T17:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,19,34,-,2010-01-02T18:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,20,8,-,2010-01-02T19:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,21,18,-,2010-01-02T20:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,22,0,-,2010-01-02T21:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,23,7,-,2010-01-02T22:00:00Z,Sat
MP10,Santo Amaro,2010-01-02,24,41,-,2010-01-02T23:00:00Z,Sat
MP10,Santo Amaro,2010-01-03,1,35,-,2010-01-03T00:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,2,41,-,2010-01-03T01:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,3,23,-,2010-01-03T02:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,4,26,-,2010-01-03T03:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,5,27,-,2010-01-03T04:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,6,16,-,2010-01-03T05:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,7,27,-,2010-01-03T06:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,8,11,-,2010-01-03T07:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,9,4,-,2010-01-03T08:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,10,22,-,2010-01-03T09:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,11,37,-,2010-01-03T10:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,12,7,-,2010-01-03T11:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,13,17,-,2010-01-03T12:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,14,8,-,2010-01-03T13:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,15,54,-,2010-01-03T14:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,16,29,-,2010-01-03T15:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,17,22,-,2010-01-03T16:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,18,26,-,2010-01-03T17:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,19,12,-,2010-01-03T18:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,20,14,-,2010-01-03T19:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,21,18,-,2010-01-03T20:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,22,19,-,2010-01-03T21:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,23,6,-,2010-01-03T22:00:00Z,Sun
MP10,Santo Amaro,2010-01-03,24,10,-,2010-01-03T23:00:00Z,Sun
MP10,Santo Amaro,2010-01-04,1,41,-,2010-01-04T00:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,2,31,-,2010-01-04T01:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,3,29,-,2010-01-04T02:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,4,25,-,2010-01-04T03:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,5,41,-,2010-01-04T04:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,6,28,-,2010-01-04T05:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,7,29,-,2010-01-04T06:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,8,26,-,2010-01-04T07:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,9,33,-,2010-01-04T08:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,10,20,-,2010-01-04T09:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,11,18,-,2010-01-04T10:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,12,32,-,2010-01-04T11:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,13,16,-,2010-01-04T12:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,14,18,-,2010-01-04T13:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,15,28,-,2010-01-04T14:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,16,61,-,2010-01-04T15:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,17,23,-,2010-01-04T16:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,18,32,-,2010-01-04T17:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,19,21,-,2010-01-04T18:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,20,17,-,2010-01-04T19:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,21,33,-,2010-01-04T20:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,22,51,-,2010-01-04T21:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,23,42,-,2010-01-04T22:00:00Z,Mon
MP10,Santo Amaro,2010-01-04,24,33,-,2010-01-04T23:00:00Z,Mon
MP10,Santo Amaro,2010-01-05,1,54,-,2010-01-05T00:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,2,58,-,2010-01-05T01:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,3,37,-,2010-01-05T02:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,4,30,-,2010-01-05T03:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,5,25,-,2010-01-05T04:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,6,42,-,2010-01-05T05:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,7,29,-,2010-01-05T06:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,8,44,-,2010-01-05T07:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,9,55,-,2010-01-05T08:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,10,51,-,2010-01-05T09:00:00Z,Tue
MP10,Santo Amaro,2010-01-05,11,74,-,2010-01-05T10:00:00Z,Tue
