parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,N.Senhora do Ó,2017-01-01,1,175,-,2017-01-01T00:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,2,242,-,2017-01-01T01:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,3,33,-,2017-01-01T02:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,4,39,-,2017-01-01T03:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,5,36,-,2017-01-01T04:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,6,35,-,2017-01-01T05:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,7,27,-,2017-01-01T06:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,8,20,-,2017-01-01T07:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,9,12,-,2017-01-01T08:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,10,17,-,2017-01-01T09:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,11,10,-,2017-01-01T10:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,12,10,-,2017-01-01T11:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,13,11,-,2017-01-01T12:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,14,18,-,2017-01-01T13:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,15,9,-,2017-01-01T14:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,16,13,-,2017-01-01T15:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,17,16,-,2017-01-01T16:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,18,32,-,2017-01-01T17:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,19,7,-,2017-01-01T18:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,20,14,-,2017-01-01T19:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,21,22,-,2017-01-01T20:00:00Z,Sun
MP10,N.Senhora do Ó,2017-01-01,22,16,-,2017-01-01T21:00:00Z,Sun
