parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Congonhas,2012-01-01,1,100,-,2012-01-01T00:00:00Z,Sun
MP10,Congonhas,2012-01-01,2,79,-,2012-01-01T01:00:00Z,Sun
MP10,Congonhas,2012-01-01,3,77,-,2012-01-01T02:00:00Z,Sun
MP10,Congonhas,2012-01-01,4,68,-,2012-01-01T03:00:00Z,Sun
MP10,Congonhas,2012-01-01,5,83,-,2012-01-01T04:00:00Z,Sun
MP10,Congonhas,2012-01-01,6,64,-,2012-01-01T05:00:00Z,Sun
MP10,Congonhas,2012-01-01,7,34,-,2012-01-01T06:00:00Z,Sun
MP10,Congonhas,2012-01-01,8,20,-,2012-01-01T07:00:00Z,Sun
MP10,Congonhas,2012-01-01,9,5,-,2012-01-01T08:00:00Z,Sun
MP10,Congonhas,2012-01-01,10,15,-,2012-01-01T09:00:00Z,Sun
MP10,Congonhas,2012-01-01,11,21,-,2012-01-01T10:00:00Z,Sun
MP10,Congonhas,2012-01-01,12,8,-,2012-01-01T11:00:00Z,Sun
MP10,Congonhas,2012-01-01,13,8,-,2012-01-01T12:00:00Z,Sun
MP10,Congonhas,2012-01-01,14,17,-,2012-01-01T13:00:00Z,Sun
MP10,Congonhas,2012-01-01,15,18,-,2012-01-01T14:00:00Z,Sun
MP10,Congonhas,2012-01-01,16,9,-,2012-01-01T15:00:00Z,Sun
MP10,Congonhas,2012-01-01,17,14,-,2012-01-01T16:00:00Z,Sun
MP10,Congonhas,2012-01-01,18,6,-,2012-01-01T17:00:00Z,Sun
MP10,Congonhas,2012-01-01,19,2,-,2012-01-01T18:00:00Z,Sun
MP10,Congonhas,2012-01-01,20,18,-,2012-01-01T19:00:00Z,Sun
MP10,Congonhas,2012-01-01,21,12,-,2012-01-01T20:00:00Z,Sun
MP10,Congonhas,2012-01-01,22,16,-,2012-01-01T21:00:00Z,Sun
MP10,Congonhas,2012-01-01,23,7,-,2012-01-01T22:00:00Z,Sun
MP10,Congonhas,2012-01-01,24,18,-,2012-01-01T23:00:00Z,Sun
MP10,Congonhas,2012-01-02,1,32,-,2012-01-02T00:00:00Z,Mon
MP10,Congonhas,2012-01-02,2,24,-,2012-01-02T01:00:00Z,Mon
MP10,Congonhas,2012-01-02,3,13,-,2012-01-02T02:00:00Z,Mon
MP10,Congonhas,2012-01-02,4,15,-,2012-01-02T03:00:00Z,Mon
MP10,Congonhas,2012-01-02,5,14,-,2012-01-02T04:00:00Z,Mon
MP10,Congonhas,2012-01-02,6,10,-,2012-01-02T05:00:00Z,Mon
MP10,Congonhas,2012-01-02,7,19,-,2012-01-02T06:00:00Z,Mon
MP10,Congonhas,2012-01-02,8,16,-,2012-01-02T07:00:00Z,Mon
MP10,Congonhas,2012-01-02,9,19,-,2012-01-02T08:00:00Z,Mon
MP10,Congonhas,2012-01-02,10,17,-,2012-01-02T09:00:00Z,Mon
MP10,Congonhas,2012-01-02,11,12,-,2012-01-02T10:00:00Z,Mon
MP10,Congonhas,2012-01-02,12,15,-,2012-01-02T11:00:00Z,Mon
MP10,Congonhas,2012-01-02,13,23,-,2012-01-02T12:00:00Z,Mon
MP10,Congonhas,2012-01-02,14,8,-,2012-01-02T13:00:00Z,Mon
MP10,Congonhas,2012-01-02,15,27,-,2012-01-02T14:00:00Z,Mon
MP10,Congonhas,2012-01-02,16,18,-,2012-01-02T15:00:00Z,Mon
MP10,Congonhas,2012-01-02,17,15,-,2012-01-02T16:00:00Z,Mon
MP10,Congonhas,2012-01-02,18,24,-,2012-01-02T17:00:00Z,Mon
MP10,Congonhas,2012-01-02,19,15,-,2012-01-02T18:00:00Z,Mon
MP10,Congonhas,2012-01-02,20,23,-,2012-01-02T19:00:00Z,Mon
MP10,Congonhas,2012-01-02,21,22,-,2012-01-02T20:00:00Z,Mon
MP10,Congonhas,2012-01-02,22,17,-,2012-01-02T21:00:00Z,Mon
MP10,Congonhas,2012-01-02,23,27,-,2012-01-02T22:00:00Z,Mon
MP10,Congonhas,2012-01-02,24,24,-,2012-01-02T23:00:00Z,Mon
MP10,Congonhas,2012-01-03,1,60,-,2012-01-03T00:00:00Z,Tue
MP10,Congonhas,2012-01-03,2,48,-,2012-01-03T01:00:00Z,Tue
MP10,Congonhas,2012-01-03,3,54,-,2012-01-03T02:00:00Z,Tue
MP10,Congonhas,2012-01-03,4,49,-,2012-01-03T03:00:00Z,Tue
MP10,Congonhas,2012-01-03,5,51,-,2012-01-03T04:00:00Z,Tue
MP10,Congonhas,2012-01-03,6,44,-,2012-01-03T05:00:00Z,Tue
MP10,Congonhas,2012-01-03,7,44,-,2012-01-03T06:00:00Z,Tue
MP10,Congonhas,2012-01-03,8,48,-,2012-01-03T07:00:00Z,Tue
MP10,Congonhas,2012-01-03,9,36,-,2012-01-03T08:00:00Z,Tue
MP10,Congonhas,2012-01-03,10,19,-,2012-01-03T09:00:00Z,Tue
MP10,Congonhas,2012-01-03,11,40,-,2012-01-03T10:00:00Z,Tue
MP10,Congonhas,2012-01-18,15,9,-,2012-01-18T14:00:00Z,Wed
MP10,Congonhas,2012-01-18,16,448,-,2012-01-18T15:00:00Z,Wed
MP10,Congonhas,2012-01-18,17,211,-,2012-01-18T16:00:00Z,Wed
MP10,Congonhas,2012-01-18,18,69,-,2012-01-18T17:00:00Z,Wed
MP10,Congonhas,2012-01-18,19,24,-,2012-01-18T18:00:00Z,Wed
MP10,Congonhas,2012-01-18,20,33,-,2012-01-18T19:00:00Z,Wed
MP10,Congonhas,2012-01-18,21,28,-,2012-01-18T20:00:00Z,Wed
MP10,Congonhas,2012-01-18,22,14,-,2012-01-18T21:00:00Z,Wed
MP10,Congonhas,2012-01-18,23,17,-,2012-01-18T22:00:00Z,Wed
MP10,Congonhas,2012-01-18,24,24,-,2012-01-18T23:00:00Z,Wed
MP10,Congonhas,2012-01-19,1,52,-,2012-01-19T00:00:00Z,Thu
MP10,Congonhas,2012-01-19,2,25,-,2012-01-19T01:00:00Z,Thu
MP10,Congonhas,2012-01-19,3,0,-,2012-01-19T02:00:00Z,Thu
MP10,Congonhas,2012-01-19,4,7,-,2012-01-19T03:00:00Z,Thu
MP10,Congonhas,2012-01-19,5,30,-,2012-01-19T04:00:00Z,Thu
MP10,Congonhas,2012-01-19,6,19,-,2012-01-19T05:00:00Z,Thu
MP10,Congonhas,2012-01-19,7,20,-,2012-01-19T06:00:00Z,Thu
MP10,Congonhas,2012-01-19,8,26,-,2012-01-19T07:00:00Z,Thu
MP10,Congonhas,2012-01-19,9,16,-,2012-01-19T08:00:00Z,Thu
MP10,Congonhas,2012-01-19,10,36,-,2012-01-19T09:00:00Z,Thu
MP10,Congonhas,2012-01-19,11,42,-,2012-01-19T10:00:00Z,Thu
MP10,Congonhas,2012-01-19,12,35,-,2012-01-19T11:00:00Z,Thu
MP10,Congonhas,2012-01-19,13,31,-,2012-01-19T12:00:00Z,Thu
MP10,Congonhas,2012-01-19,14,27,-,2012-01-19T13:00:00Z,Thu
MP10,Congonhas,2012-01-19,15,15,-,2012-01-19T14:00:00Z,Thu
MP10,Congonhas,2012-01-19,16,29,-,2012-01-19T15:00:00Z,Thu
MP10,Congonhas,2012-01-19,17,30,-,2012-01-19T16:00:00Z,Thu
MP10,Congonhas,2012-01-19,18,84,-,2012-01-19T17:00:00Z,Thu
MP10,Congonhas,2012-01-19,19,94,-,2012-01-19T18:00:00Z,Thu
MP10,Congonhas,2012-01-19,20,73,-,2012-01-19T19:00:00Z,Thu
MP10,Congonhas,2012-01-19,21,60,-,2012-01-19T20:00:00Z,Thu
MP10,Congonhas,2012-01-19,22,13,-,2012-01-19T21:00:00Z,Thu
MP10,Congonhas,2012-01-19,23,4,-,2012-01-19T22:00:00Z,Thu
MP10,Congonhas,2012-01-19,24,11,-,2012-01-19T23:00:00Z,Thu
MP10,Congonhas,2012-01-20,1,61,-,2012-01-20T00:00:00Z,Fri
MP10,Congonhas,2012-01-20,2,28,-,2012-01-20T01:00:00Z,Fri
MP10,Congonhas,2012-01-20,3,26,-,2012-01-20T02:00:00Z,Fri
MP10,Congonhas,2012-01-20,4,19,-,2012-01-20T03:00:00Z,Fri
MP10,Congonhas,2012-01-20,5,20,-,2012-01-20T04:00:00Z,Fri
MP10,Congonhas,2012-01-20,6,15,-,2012-01-20T05:00:00Z,Fri
MP10,Congonhas,2012-01-20,7,22,-,2012-01-20T06:00:00Z,Fri
MP10,Congonhas,2012-01-20,8,25,-,2012-01-20T07:00:00Z,Fri
MP10,Congonhas,2012-01-20,9,41,-,2012-01-20T08:00:00Z,Fri
MP10,Congonhas,2012-01-20,10,14,-,2012-01-20T09:00:00Z,Fri
MP10,Congonhas,2012-01-20,11,18,-,2012-01-20T10:00:00Z,Fri
MP10,Congonhas,2012-01-20,12,22,-,2012-01-20T11:00:00Z,Fri
MP10,Congonhas,2012-01-20,13,21,-,2012-01-20T12:00:00Z,Fri
MP10,Congonhas,2012-01-20,14,25,-,2012-01-20T13:00:00Z,Fri
MP10,Congonhas,2012-01-20,15,24,-,2012-01-20T14:00:00Z,Fri
MP10,Congonhas,2012-01-20,16,23,-,2012-01-20T15:00:00Z,Fri
