parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Santo Amaro,2009-01-01,1,38,-,2009-01-01T00:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,2,52,-,2009-01-01T01:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,3,55,-,2009-01-01T02:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,4,76,-,2009-01-01T03:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,5,88,-,2009-01-01T04:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,6,29,-,2009-01-01T05:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,7,20,-,2009-01-01T06:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,8,17,-,2009-01-01T07:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,9,18,-,2009-01-01T08:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,10,12,-,2009-01-01T09:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,11,10,-,2009-01-01T10:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,12,13,-,2009-01-01T11:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,13,9,-,2009-01-01T12:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,14,10,-,2009-01-01T13:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,15,9,-,2009-01-01T14:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,16,14,-,2009-01-01T15:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,17,17,-,2009-01-01T16:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,18,17,-,2009-01-01T17:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,19,38,-,2009-01-01T18:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,20,20,-,2009-01-01T19:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,21,15,-,2009-01-01T20:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,22,20,-,2009-01-01T21:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,23,14,-,2009-01-01T22:00:00Z,Thu
MP10,Santo Amaro,2009-01-01,24,19,-,2009-01-01T23:00:00Z,Thu
MP10,Santo Amaro,2009-01-02,1,20,-,2009-01-02T00:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,2,22,-,2009-01-02T01:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,3,12,-,2009-01-02T02:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,4,10,-,2009-01-02T03:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,5,16,-,2009-01-02T04:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,6,12,-,2009-01-02T05:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,7,16,-,2009-01-02T06:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,8,20,-,2009-01-02T07:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,9,26,-,2009-01-02T08:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,10,17,-,2009-01-02T09:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,11,21,-,2009-01-02T10:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,12,21,-,2009-01-02T11:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,13,19,-,2009-01-02T12:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,14,18,-,2009-01-02T13:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,15,22,-,2009-01-02T14:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,16,15,-,2009-01-02T15:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,17,8,-,2009-01-02T16:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,18,13,-,2009-01-02T17:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,19,15,-,2009-01-02T18:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,20,7,-,2009-01-02T19:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,21,11,-,2009-01-02T20:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,22,8,-,2009-01-02T21:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,23,14,-,2009-01-02T22:00:00Z,Fri
MP10,Santo Amaro,2009-01-02,24,14,-,2009-01-02T23:00:00Z,Fri
MP10,Santo Amaro,2009-01-03,1,15,-,2009-01-03T00:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,2,9,-,2009-01-03T01:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,3,10,-,2009-01-03T02:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,4,8,-,2009-01-03T03:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,5,7,-,2009-01-03T04:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,6,7,-,2009-01-03T05:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,7,7,-,2009-01-03T06:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,8,11,-,2009-01-03T07:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,9,6,-,2009-01-03T08:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,10,13,-,2009-01-03T09:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,11,11,-,2009-01-03T10:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,12,13,-,2009-01-03T11:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,13,8,-,2009-01-03T12:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,14,13,-,2009-01-03T13:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,15,11,-,2009-01-03T14:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,16,10,-,2009-01-03T15:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,17,13,-,2009-01-03T16:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,18,9,-,2009-01-03T17:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,19,6,-,2009-01-03T18:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,20,15,-,2009-01-03T19:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,21,5,-,2009-01-03T20:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,22,9,-,2009-01-03T21:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,23,9,-,2009-01-03T22:00:00Z,Sat
MP10,Santo Amaro,2009-01-03,24,11,-,2009-01-03T23:00:00Z,Sat
MP10,Santo Amaro,2009-01-04,1,14,-,2009-01-04T00:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,2,8,-,2009-01-04T01:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,3,1,-,2009-01-04T02:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,4,2,-,2009-01-04T03:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,5,4,-,2009-01-04T04:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,6,2,-,2009-01-04T05:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,7,4,-,2009-01-04T06:00:00Z,Sun
MP10,Santo Amaro,2009-01-04,8,4,-,2009-01-04T07:00:00Z,Sun
