parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Parque D.Pedro II,2008-01-01,1,47,-,2008-01-01T00:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,2,90,-,2008-01-01T01:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,3,102,-,2008-01-01T02:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,4,64,-,2008-01-01T03:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,5,48,-,2008-01-01T04:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,6,36,-,2008-01-01T05:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,7,43,-,2008-01-01T06:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,8,49,-,2008-01-01T07:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,9,33,-,2008-01-01T08:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,10,8,-,2008-01-01T09:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,11,9,-,2008-01-01T10:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,12,16,-,2008-01-01T11:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,13,9,-,2008-01-01T12:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,14,17,-,2008-01-01T13:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,15,47,-,2008-01-01T14:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,16,42,-,2008-01-01T15:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,17,49,-,2008-01-01T16:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,18,43,-,2008-01-01T17:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,19,52,-,2008-01-01T18:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,20,48,-,2008-01-01T19:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,21,15,-,2008-01-01T20:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,22,23,-,2008-01-01T21:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,23,11,-,2008-01-01T22:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-01,24,16,-,2008-01-01T23:00:00Z,Tue
MP10,Parque D.Pedro II,2008-01-02,1,13,-,2008-01-02T00:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,2,45,-,2008-01-02T01:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,3,57,-,2008-01-02T02:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,4,28,-,2008-01-02T03:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,5,20,-,2008-01-02T04:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,6,26,-,2008-01-02T05:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,7,27,-,2008-01-02T06:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,8,17,-,2008-01-02T07:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,9,17,-,2008-01-02T08:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,10,21,-,2008-01-02T09:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,11,24,-,2008-01-02T10:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,12,36,-,2008-01-02T11:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,13,41,-,2008-01-02T12:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,14,46,-,2008-01-02T13:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,15,50,-,2008-01-02T14:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,16,47,-,2008-01-02T15:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,17,62,-,2008-01-02T16:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,18,55,-,2008-01-02T17:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,19,22,-,2008-01-02T18:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,20,44,-,2008-01-02T19:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,21,51,-,2008-01-02T20:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,22,22,-,2008-01-02T21:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,23,23,-,2008-01-02T22:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-02,24,23,-,2008-01-02T23:00:00Z,Wed
MP10,Parque D.Pedro II,2008-01-03,1,17,-,2008-01-03T00:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,2,47,-,2008-01-03T01:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,3,53,-,2008-01-03T02:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,4,36,-,2008-01-03T03:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,5,28,-,2008-01-03T04:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,6,38,-,2008-01-03T05:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,7,52,-,2008-01-03T06:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,8,41,-,2008-01-03T07:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,9,31,-,2008-01-03T08:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,10,21,-,2008-01-03T09:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,11,35,-,2008-01-03T10:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,12,12,-,2008-01-03T11:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,13,16,-,2008-01-03T12:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,14,30,-,2008-01-03T13:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,15,26,-,2008-01-03T14:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,16,27,-,2008-01-03T15:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,17,28,-,2008-01-03T16:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,18,22,-,2008-01-03T17:00:00Z,Thu
MP10,Parque D.Pedro II,2008-01-03,19,51,-,2008-01-03T18:00:00Z,Thu
