parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Santana,2013-01-01,1,52,-,2013-01-01T00:00:00Z,Tue
MP10,Santana,2013-01-01,2,93,-,2013-01-01T01:00:00Z,Tue
MP10,Santana,2013-01-01,3,50,-,2013-01-01T02:00:00Z,Tue
MP10,Santana,2013-01-01,4,33,-,2013-01-01T03:00:00Z,Tue
MP10,Santana,2013-01-01,5,26,-,2013-01-01T04:00:00Z,Tue
MP10,Santana,2013-01-01,6,33,-,2013-01-01T05:00:00Z,Tue
MP10,Santana,2013-01-01,7,17,-,2013-01-01T06:00:00Z,Tue
MP10,Santana,2013-01-01,8,22,-,2013-01-01T07:00:00Z,Tue
MP10,Santana,2013-01-01,9,8,-,2013-01-01T08:00:00Z,Tue
MP10,Santana,2013-01-01,10,30,-,2013-01-01T09:00:00Z,Tue
MP10,Santana,2013-01-01,11,30,-,2013-01-01T10:00:00Z,Tue
MP10,Santana,2013-01-01,12,18,-,2013-01-01T11:00:00Z,Tue
MP10,Santana,2013-01-01,13,10,-,2013-01-01T12:00:00Z,Tue
MP10,Santana,2013-01-01,14,15,-,2013-01-01T13:00:00Z,Tue
MP10,Santana,2013-01-01,15,18,-,2013-01-01T14:00:00Z,Tue
MP10,Santana,2013-01-01,16,16,-,2013-01-01T15:00:00Z,Tue
MP10,Santana,2013-01-01,17,21,-,2013-01-01T16:00:00Z,Tue
MP10,Santana,2013-01-01,18,26,-,2013-01-01T17:00:00Z,Tue
MP10,Santana,2013-01-01,19,17,-,2013-01-01T18:00:00Z,Tue
MP10,Santana,2013-01-01,20,10,-,2013-01-01T19:00:00Z,Tue
MP10,Santana,2013-01-01,21,16,-,2013-01-01T20:00:00Z,Tue
MP10,Santana,2013-01-01,22,10,-,2013-01-01T21:00:00Z,Tue
MP10,Santana,2013-01-01,23,19,-,2013-01-01T22:00:00Z,Tue
MP10,Santana,2013-01-01,24,11,-,2013-01-01T23:00:00Z,Tue
MP10,Santana,2013-01-02,1,9,-,2013-01-02T00:00:00Z,Wed
MP10,Santana,2013-01-02,2,1,-,2013-01-02T01:00:00Z,Wed
MP10,Santana,2013-01-02,3,11,-,2013-01-02T02:00:00Z,Wed
MP10,Santana,2013-01-02,4,20,-,2013-01-02T03:00:00Z,Wed
MP10,Santana,2013-01-02,5,11,-,2013-01-02T04:00:00Z,Wed
MP10,Santana,2013-01-02,6,11,-,2013-01-02T05:00:00Z,Wed
MP10,Santana,2013-01-02,7,11,-,2013-01-02T06:00:00Z,Wed
MP10,Santana,2013-01-02,8,15,-,2013-01-02T07:00:00Z,Wed
MP10,Santana,2013-01-02,9,20,-,2013-01-02T08:00:00Z,Wed
MP10,Santana,2013-01-02,10,10,-,2013-01-02T09:00:00Z,Wed
MP10,Santana,2013-01-02,11,8,-,2013-01-02T10:00:00Z,Wed
MP10,Santana,2013-01-02,12,17,-,2013-01-02T11:00:00Z,Wed
MP10,Santana,2013-01-02,13,10,-,2013-01-02T12:00:00Z,Wed
MP10,Santana,2013-01-02,14,5,-,2013-01-02T13:00:00Z,Wed
MP10,Santana,2013-01-02,15,16,-,2013-01-02T14:00:00Z,Wed
MP10,Santana,2013-01-02,16,6,-,2013-01-02T15:00:00Z,Wed
MP10,Santana,2013-01-02,17,8,-,2013-01-02T16:00:00Z,Wed
MP10,Santana,2013-01-02,18,7,-,2013-01-02T17:00:00Z,Wed
MP10,Santana,2013-01-02,19,10,-,2013-01-02T18:00:00Z,Wed
MP10,Santana,2013-01-02,20,4,-,2013-01-02T19:00:00Z,Wed
MP10,Santana,2013-01-02,21,7,-,2013-01-02T20:00:00Z,Wed
MP10,Santana,2013-01-02,22,13,-,2013-01-02T21:00:00Z,Wed
MP10,Santana,2013-01-02,23,5,-,2013-01-02T22:00:00Z,Wed
MP10,Santana,2013-01-02,24,10,-,2013-01-02T23:00:00Z,Wed
MP10,Santana,2013-01-03,1,10,-,2013-01-03T00:00:00Z,Thu
MP10,Santana,2013-01-03,2,18,-,2013-01-03T01:00:00Z,Thu
MP10,Santana,2013-01-03,3,5,-,2013-01-03T02:00:00Z,Thu
MP10,Santana,2013-01-03,4,4,-,2013-01-03T03:00:00Z,Thu
MP10,Santana,2013-01-03,5,5,-,2013-01-03T04:00:00Z,Thu
MP10,Santana,2013-01-03,6,6,-,2013-01-03T05:00:00Z,Thu
MP10,Santana,2013-01-03,7,4,-,2013-01-03T06:00:00Z,Thu
MP10,Santana,2013-01-03,8,10,-,2013-01-03T07:00:00Z,Thu
MP10,Santana,2013-01-03,9,18,-,2013-01-03T08:00:00Z,Thu
MP10,Santana,2013-01-03,10,18,-,2013-01-03T09:00:00Z,Thu
MP10,Santana,2013-01-03,11,23,-,2013-01-03T10:00:00Z,Thu
MP10,Santana,2013-01-03,12,23,-,2013-01-03T11:00:00Z,Thu
MP10,Santana,2013-01-03,13,23,-,2013-01-03T12:00:00Z,Thu
MP10,Santana,2013-01-03,14,15,-,2013-01-03T13:00:00Z,Thu
MP10,Santana,2013-01-03,15,12,-,2013-01-03T14:00:00Z,Thu
