parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,1,24,-,2015-01-01T00:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,2,50,-,2015-01-01T01:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,3,39,-,2015-01-01T02:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,4,33,-,2015-01-01T03:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,5,28,-,2015-01-01T04:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,6,32,-,2015-01-01T05:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,7,30,-,2015-01-01T06:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,8,20,-,2015-01-01T07:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,9,13,-,2015-01-01T08:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,10,7,-,2015-01-01T09:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,11,4,-,2015-01-01T10:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,12,6,-,2015-01-01T11:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,13,2,-,2015-01-01T12:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,14,2,-,2015-01-01T13:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,15,2,-,2015-01-01T14:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,16,0,-,2015-01-01T15:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,17,0,-,2015-01-01T16:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,18,1,-,2015-01-01T17:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,19,3,-,2015-01-01T18:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,20,3,-,2015-01-01T19:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,21,0,-,2015-01-01T20:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,22,3,-,2015-01-01T21:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,23,5,-,2015-01-01T22:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-01,24,5,-,2015-01-01T23:00:00Z,Thu
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,1,5,-,2015-01-02T00:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,2,5,-,2015-01-02T01:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,3,6,-,2015-01-02T02:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,4,5,-,2015-01-02T03:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,5,4,-,2015-01-02T04:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,6,3,-,2015-01-02T05:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,7,5,-,2015-01-02T06:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,8,5,-,2015-01-02T07:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,9,6,-,2015-01-02T08:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,10,5,-,2015-01-02T09:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,11,2,-,2015-01-02T10:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,12,2,-,2015-01-02T11:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,13,1,-,2015-01-02T12:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,14,2,-,2015-01-02T13:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,15,1,-,2015-01-02T14:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,16,0,-,2015-01-02T15:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-02,17,6,-,2015-01-02T16:00:00Z,Fri
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,11,0,-,2015-01-03T10:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,12,3,-,2015-01-03T11:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,13,0,-,2015-01-03T12:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,14,0,-,2015-01-03T13:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,15,4,-,2015-01-03T14:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,16,8,-,2015-01-03T15:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,17,6,-,2015-01-03T16:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,18,1,-,2015-01-03T17:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,19,1,-,2015-01-03T18:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,20,4,-,2015-01-03T19:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,21,1,-,2015-01-03T20:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,22,5,-,2015-01-03T21:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,23,3,-,2015-01-03T22:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-03,24,1,-,2015-01-03T23:00:00Z,Sat
MP2.5,Cid.Universitária-USP-Ipen,2015-01-04,1,2,-,2015-01-04T00:00:00Z,Sun
MP2.5,Cid.Universitária-USP-Ipen,2015-01-04,2,1,-,2015-01-04T01:00:00Z,Sun
