parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Cerqueira César,2011-01-01,1,16,-,2011-01-01T00:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,2,38,-,2011-01-01T01:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,3,48,-,2011-01-01T02:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,4,38,-,2011-01-01T03:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,5,19,-,2011-01-01T04:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,6,9,-,2011-01-01T05:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,7,7,-,2011-01-01T06:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,8,8,-,2011-01-01T07:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,9,4,-,2011-01-01T08:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,10,12,-,2011-01-01T09:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,11,9,-,2011-01-01T10:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,12,18,-,2011-01-01T11:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,13,11,-,2011-01-01T12:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,14,10,-,2011-01-01T13:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,15,8,-,2011-01-01T14:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,16,18,-,2011-01-01T15:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,17,18,-,2011-01-01T16:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,18,12,-,2011-01-01T17:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,19,11,-,2011-01-01T18:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,20,6,-,2011-01-01T19:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,21,6,-,2011-01-01T20:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,22,3,-,2011-01-01T21:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,23,4,-,2011-01-01T22:00:00Z,Sat
MP10,Cerqueira César,2011-01-01,24,4,-,2011-01-01T23:00:00Z,Sat
MP10,Cerqueira César,2011-01-02,1,0,-,2011-01-02T00:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,2,0,-,2011-01-02T01:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,3,1,-,2011-01-02T02:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,4,4,-,2011-01-02T03:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,5,6,-,2011-01-02T04:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,6,4,-,2011-01-02T05:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,7,3,-,2011-01-02T06:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,8,5,-,2011-01-02T07:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,9,2,-,2011-01-02T08:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,10,5,-,2011-01-02T09:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,11,5,-,2011-01-02T10:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,12,7,-,2011-01-02T11:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,13,5,-,2011-01-02T12:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,14,5,-,2011-01-02T13:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,15,5,-,2011-01-02T14:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,16,3,-,2011-01-02T15:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,17,10,-,2011-01-02T16:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,18,5,-,2011-01-02T17:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,19,4,-,2011-01-02T18:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,20,3,-,2011-01-02T19:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,21,7,-,2011-01-02T20:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,22,6,-,2011-01-02T21:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,23,8,-,2011-01-02T22:00:00Z,Sun
MP10,Cerqueira César,2011-01-02,24,11,-,2011-01-02T23:00:00Z,Sun
MP10,Cerqueira César,2011-01-03,1,10,-,2011-01-03T00:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,2,13,-,2011-01-03T01:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,3,17,-,2011-01-03T02:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,4,10,-,2011-01-03T03:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,5,16,-,2011-01-03T04:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,6,9,-,2011-01-03T05:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,7,13,-,2011-01-03T06:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,8,13,-,2011-01-03T07:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,9,22,-,2011-01-03T08:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,10,21,-,2011-01-03T09:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,11,9,-,2011-01-03T10:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,12,11,-,2011-01-03T11:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,13,14,-,2011-01-03T12:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,14,9,-,2011-01-03T13:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,15,17,-,2011-01-03T14:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,16,15,-,2011-01-03T15:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,17,14,-,2011-01-03T16:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,18,15,-,2011-01-03T17:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,19,20,-,2011-01-03T18:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,20,19,-,2011-01-03T19:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,21,17,-,2011-01-03T20:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,22,21,-,2011-01-03T21:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,23,20,-,2011-01-03T22:00:00Z,Mon
MP10,Cerqueira César,2011-01-03,24,25,-,2011-01-03T23:00:00Z,Mon
MP10,Cerqueira César,2011-01-04,1,17,-,2011-01-04T00:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,2,13,-,2011-01-04T01:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,3,12,-,2011-01-04T02:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,4,11,-,2011-01-04T03:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,5,15,-,2011-01-04T04:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,6,9,-,2011-01-04T05:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,7,19,-,2011-01-04T06:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,8,20,-,2011-01-04T07:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,9,25,-,2011-01-04T08:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,10,19,-,2011-01-04T09:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,11,22,-,2011-01-04T10:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,12,9,-,2011-01-04T11:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,13,11,-,2011-01-04T12:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,14,8,-,2011-01-04T13:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,15,13,-,2011-01-04T14:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,16,15,-,2011-01-04T15:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,17,14,-,2011-01-04T16:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,18,12,-,2011-01-04T17:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,19,13,-,2011-01-04T18:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,20,15,-,2011-01-04T19:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,21,22,-,2011-01-04T20:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,22,24,-,2011-01-04T21:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,23,21,-,2011-01-04T22:00:00Z,Tue
MP10,Cerqueira César,2011-01-04,24,16,-,2011-01-04T23:00:00Z,Tue
MP10,Cerqueira César,2011-01-05,1,22,-,2011-01-05T00:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,2,20,-,2011-01-05T01:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,3,18,-,2011-01-05T02:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,4,17,-,2011-01-05T03:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,5,14,-,2011-01-05T04:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,6,11,-,2011-01-05T05:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,7,12,-,2011-01-05T06:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,8,17,-,2011-01-05T07:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,9,15,-,2011-01-05T08:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,10,23,-,2011-01-05T09:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,11,14,-,2011-01-05T10:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,12,21,-,2011-01-05T11:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,13,19,-,2011-01-05T12:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,14,22,-,2011-01-05T13:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,15,26,-,2011-01-05T14:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,16,25,-,2011-01-05T15:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,17,18,-,2011-01-05T16:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,18,18,-,2011-01-05T17:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,19,25,-,2011-01-05T18:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,20,22,-,2011-01-05T19:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,21,15,-,2011-01-05T20:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,22,14,-,2011-01-05T21:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,23,20,-,2011-01-05T22:00:00Z,Wed
MP10,Cerqueira César,2011-01-05,24,14,-,2011-01-05T23:00:00Z,Wed
MP10,Cerqueira César,2011-01-06,1,17,-,2011-01-06T00:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,2,9,-,2011-01-06T01:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,3,3,-,2011-01-06T02:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,4,4,-,2011-01-06T03:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,5,4,-,2011-01-06T04:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,6,9,-,2011-01-06T05:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,7,13,-,2011-01-06T06:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,8,18,-,2011-01-06T07:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,9,19,-,2011-01-06T08:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,10,17,-,2011-01-06T09:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,11,19,-,2011-01-06T10:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,12,29,-,2011-01-06T11:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,13,30,-,2011-01-06T12:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,14,20,-,2011-01-06T13:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,15,18,-,2011-01-06T14:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,16,22,-,2011-01-06T15:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,17,26,-,2011-01-06T16:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,18,17,-,2011-01-06T17:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,19,21,-,2011-01-06T18:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,20,27,-,2011-01-06T19:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,21,26,-,2011-01-06T20:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,22,16,-,2011-01-06T21:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,23,18,-,2011-01-06T22:00:00Z,Thu
MP10,Cerqueira César,2011-01-06,24,23,-,2011-01-06T23:00:00Z,Thu
MP10,Cerqueira César,2011-01-07,1,23,-,2011-01-07T00:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,2,11,-,2011-01-07T01:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,3,18,-,2011-01-07T02:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,4,21,-,2011-01-07T03:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,5,10,-,2011-01-07T04:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,6,18,-,2011-01-07T05:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,7,26,-,2011-01-07T06:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,8,23,-,2011-01-07T07:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,9,23,-,2011-01-07T08:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,10,27,-,2011-01-07T09:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,11,21,-,2011-01-07T10:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,12,19,-,2011-01-07T11:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,13,24,-,2011-01-07T12:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,14,11,-,2011-01-07T13:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,15,13,-,2011-01-07T14:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,16,24,-,2011-01-07T15:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,17,24,-,2011-01-07T16:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,18,23,-,2011-01-07T17:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,19,25,-,2011-01-07T18:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,20,9,-,2011-01-07T19:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,21,15,-,2011-01-07T20:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,22,21,-,2011-01-07T21:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,23,18,-,2011-01-07T22:00:00Z,Fri
MP10,Cerqueira César,2011-01-07,24,21,-,2011-01-07T23:00:00Z,Fri
MP10,Cerqueira César,2011-01-08,1,14,-,2011-01-08T00:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,2,19,-,2011-01-08T01:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,3,25,-,2011-01-08T02:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,4,23,-,2011-01-08T03:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,5,22,-,2011-01-08T04:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,6,22,-,2011-01-08T05:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,7,29,-,2011-01-08T06:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,8,31,-,2011-01-08T07:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,9,29,-,2011-01-08T08:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,10,25,-,2011-01-08T09:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,11,25,-,2011-01-08T10:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,12,27,-,2011-01-08T11:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,13,16,-,2011-01-08T12:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,14,25,-,2011-01-08T13:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,15,30,-,2011-01-08T14:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,16,27,-,2011-01-08T15:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,17,10,-,2011-01-08T16:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,18,16,-,2011-01-08T17:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,19,13,-,2011-01-08T18:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,20,21,-,2011-01-08T19:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,21,16,-,2011-01-08T20:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,22,15,-,2011-01-08T21:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,23,19,-,2011-01-08T22:00:00Z,Sat
MP10,Cerqueira César,2011-01-08,24,14,-,2011-01-08T23:00:00Z,Sat
MP10,Cerqueira César,2011-01-09,1,15,-,2011-01-09T00:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,2,12,-,2011-01-09T01:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,3,5,-,2011-01-09T02:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,4,22,-,2011-01-09T03:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,5,12,-,2011-01-09T04:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,6,22,-,2011-01-09T05:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,7,21,-,2011-01-09T06:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,8,18,-,2011-01-09T07:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,9,14,-,2011-01-09T08:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,10,22,-,2011-01-09T09:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,11,8,-,2011-01-09T10:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,12,5,-,2011-01-09T11:00:00Z,Sun
MP10,Cerqueira César,2011-01-09,13,13,-,2011-01-09T12:00:00Z,Sun
