parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Santo Amaro,2013-01-01,1,74,-,2013-01-01T00:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,2,45,-,2013-01-01T01:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,3,83,-,2013-01-01T02:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,4,30,-,2013-01-01T03:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,5,27,-,2013-01-01T04:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,6,29,-,2013-01-01T05:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,7,40,-,2013-01-01T06:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,8,27,-,2013-01-01T07:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,9,44,-,2013-01-01T08:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,10,41,-,2013-01-01T09:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,11,15,-,2013-01-01T10:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,12,10,-,2013-01-01T11:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,13,33,-,2013-01-01T12:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,14,13,-,2013-01-01T13:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,15,23,-,2013-01-01T14:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,16,17,-,2013-01-01T15:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,17,21,-,2013-01-01T16:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,18,51,-,2013-01-01T17:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,19,7,-,2013-01-01T18:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,20,12,-,2013-01-01T19:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,21,21,-,2013-01-01T20:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,22,41,-,2013-01-01T21:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,23,1,-,2013-01-01T22:00:00Z,Tue
MP10,Santo Amaro,2013-01-01,24,14,-,2013-01-01T23:00:00Z,Tue
MP10,Santo Amaro,2013-01-02,1,7,-,2013-01-02T00:00:00Z,Wed
MP10,Santo Amaro,2013-01-02,2,29,-,2013-01-02T01:00:00Z,Wed
