parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Parque D.Pedro II,2012-01-01,1,26,-,2012-01-01T00:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,2,89,-,2012-01-01T01:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,3,77,-,2012-01-01T02:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,4,107,-,2012-01-01T03:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,5,111,-,2012-01-01T04:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,6,85,-,2012-01-01T05:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,7,46,-,2012-01-01T06:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,8,28,-,2012-01-01T07:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,9,10,-,2012-01-01T08:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,10,14,-,2012-01-01T09:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,11,7,-,2012-01-01T10:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,12,8,-,2012-01-01T11:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,13,4,-,2012-01-01T12:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,14,14,-,2012-01-01T13:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,19,88,-,2012-01-01T18:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,20,44,-,2012-01-01T19:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,21,3,-,2012-01-01T20:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,22,6,-,2012-01-01T21:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,23,7,-,2012-01-01T22:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-01,24,3,-,2012-01-01T23:00:00Z,Sun
MP10,Parque D.Pedro II,2012-01-02,1,9,-,2012-01-02T00:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,2,23,-,2012-01-02T01:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,3,1,-,2012-01-02T02:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,4,1,-,2012-01-02T03:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,5,4,-,2012-01-02T04:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,6,8,-,2012-01-02T05:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,7,5,-,2012-01-02T06:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,8,5,-,2012-01-02T07:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,9,7,-,2012-01-02T08:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,10,9,-,2012-01-02T09:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,11,8,-,2012-01-02T10:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,12,9,-,2012-01-02T11:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,13,6,-,2012-01-02T12:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,14,9,-,2012-01-02T13:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,15,8,-,2012-01-02T14:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,16,20,-,2012-01-02T15:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,17,13,-,2012-01-02T16:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,18,19,-,2012-01-02T17:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,19,20,-,2012-01-02T18:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,20,12,-,2012-01-02T19:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,21,19,-,2012-01-02T20:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,22,16,-,2012-01-02T21:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,23,24,-,2012-01-02T22:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-02,24,39,-,2012-01-02T23:00:00Z,Mon
MP10,Parque D.Pedro II,2012-01-03,1,32,-,2012-01-03T00:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,2,54,-,2012-01-03T01:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,3,35,-,2012-01-03T02:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,4,45,-,2012-01-03T03:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,5,35,-,2012-01-03T04:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,6,22,-,2012-01-03T05:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,7,38,-,2012-01-03T06:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,8,56,-,2012-01-03T07:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,9,57,-,2012-01-03T08:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,10,26,-,2012-01-03T09:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,11,28,-,2012-01-03T10:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,12,31,-,2012-01-03T11:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,13,26,-,2012-01-03T12:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,14,38,-,2012-01-03T13:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,15,58,-,2012-01-03T14:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,16,11,-,2012-01-03T15:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,17,15,-,2012-01-03T16:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,18,34,-,2012-01-03T17:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,19,38,-,2012-01-03T18:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,20,34,-,2012-01-03T19:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,21,30,-,2012-01-03T20:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,22,28,-,2012-01-03T21:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,23,18,-,2012-01-03T22:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-03,24,38,-,2012-01-03T23:00:00Z,Tue
MP10,Parque D.Pedro II,2012-01-04,1,45,-,2012-01-04T00:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,2,52,-,2012-01-04T01:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,3,61,-,2012-01-04T02:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,4,57,-,2012-01-04T03:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,5,45,-,2012-01-04T04:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,6,41,-,2012-01-04T05:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,7,39,-,2012-01-04T06:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,8,49,-,2012-01-04T07:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,9,64,-,2012-01-04T08:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,10,47,-,2012-01-04T09:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,11,45,-,2012-01-04T10:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,12,36,-,2012-01-04T11:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,13,36,-,2012-01-04T12:00:00Z,Wed
MP10,Parque D.Pedro II,2012-01-04,14,37,-,2012-01-04T13:00:00Z,Wed
